date_scraped,text,url
4/8/2026 21:50,Samirkii Wuu Miro Dhalay:Hooyooyinkaan sanado badan rajo iyo adkeysi ka dib maanta riyooyinkooda hooyanimo ayay heleen.,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Degdeg: Taliye Shub oo xabsi guri laga dhigey | Qaabka loo weerarey looguna dhex xirey gurigiisa oo yaab leh .,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Trainkii xukun jeceylka Xasan Sheikh oo laga kala cararay| Odowaagii ugu dambeeyay ayaa ka yaabey birmadihii ee yaa ka... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Rasmi : Waxaa xilkii laga qaadey Taliyihii ciidanka Asluubta Mahad “Shub “ kaas oo Sidoo kale ahaa sodoga Mw Koofur Ga... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,"Gacan ku dhiiglihii diley Caasho : Ma rumaysanaysid cidda la qabtay! | Masiibadii Mogadishu"" Sii gudbi",https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Degdeg:- Tii ugu darnayd oo Bakaaraha ka taagan. Muuqaalkan wuxuu ku tusayaa arxan la'aanta dalka ka jirta.,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Toos : Hooyooyin lagu garaacayo Suuqa Bakaaraha . Taliyaha Saldhiga Howlwadaag Cabdullaahi Madoobe ayaa si xun ula dh... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Waawareey! Ganacsatada bakaaraha oo u dhaartey MW Xasan kuna qeyliyay maxaa naloo dhacaya ?.,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Waawareey ! Duulaankii ugu xumaa taariikhda oo lagu qaadey Suuqa bakaaraha | Maxaadan ogeyn oo socda ? Sii gudbi,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Degdeg:- Xasan Sheikh oo amrey in la soo afjaro Laftagareen | KG oo difaac adag xiratey . Ciidankii ugu badnaa oo lagu... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Koonfur Galbeed oo degmooyinka G/Banaadir u magacaawdey guddoomiyayaal. Waxaad fahmeysa in dowladnimadeenna dheeldheel... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,"Salma Saalax waxay gabar ka dhalatay qoys ka kooban 7 gabdhood iyo hal wiil. Nasiibxumo, halkii wiil wuxuu saxaraha Li... Wax badan arag",https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Degdeg: Rakaab u badan dumar & carruur diyaaradii qaadi lahayd lagu badaley askar la geynayo Buurhakaba .... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:51,Haaladé Siyaasideed ee Koonfur Galbeed ya jahwareer ku teegéng kureed markii KG lukulé wereegi Megaalooyingki ingki... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:51,Update : Ciidanka nabad sugida ee habinkii roondeeya iyo ciidan boolis military ah ayaa isku dhacey markii ay kala shakiyeen. Dhinac kasta xalka waxa uu u arkey in ay rasaas ku kala adkaadaan. Waa sidaas rasaasta Deyniile ka socota .,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:51,Degdeg: Dagaal la isku adeegsanayo rasaas culus ayaa ka socda Deyniile gaar ahaan Warlaliska . Lama cadeeyn weli dagaalka cida uu u dhaxeeyo balse shacabka ayaa sheegaya in xaaladu qasan tahay . Ma maqashaa xabdaha socda ? Keliya Reer Deyniile haka jawaabaan.,https://www.facebook.com/MunasarMohamedAbd
